PROJECTID,cohort_col,TESTNAME,n,omnibus_pval,omnibus_qval_fdr_bh,gba_included,log_transform,pd_only
151,HEURISTIC,JARID2_12623-84_3,516.0,0.4863863943671078,0.8319447247604187,False,False,True
151,HEURISTIC,ASH1L_12622-96_3,516.0,0.05544832969119664,0.39998496866863864,False,False,True
151,HEURISTIC,PPP2R1A_12621-55_3,516.0,0.29823086244082214,0.7426983097213739,False,False,True
151,HEURISTIC,42624_12620-3_3,516.0,0.4256627840040212,0.8026551288580938,False,False,True
151,HEURISTIC,PPM1A_12619-14_3,516.0,0.16370046248214035,0.6136256599790659,False,False,True
151,HEURISTIC,AKR1C1_12618-50_3,516.0,0.26448683609650964,0.7099459938713559,False,False,True
151,HEURISTIC,STK24_12617-2_3,516.0,0.00030297011280460285,0.022504293214605273,False,False,True
151,HEURISTIC,NRBP1_12616-45_3,516.0,0.19586396587421445,0.6572444437389386,False,False,True
151,HEURISTIC,PSMB1_12612-37_3,516.0,0.14639869259338512,0.5854002714512142,False,False,True
151,HEURISTIC,EXOSC3_12605-1_3,516.0,0.4052464169900752,0.7924822140581845,False,False,True
151,HEURISTIC,SCMH1_12604-16_3,516.0,0.7906624332634741,0.9484068647341991,False,False,True
151,HEURISTIC,PABPC4_12603-87_3,516.0,0.2354235460274552,0.6845394508049203,False,False,True
151,HEURISTIC,FERMT3_12599-10_3,516.0,0.49103347283740806,0.8351327819169279,False,False,True
151,HEURISTIC,ATG5_12597-68_3,516.0,0.8819497005846934,0.9698470498218181,False,False,True
151,HEURISTIC,TMOD1_12595-11_3,516.0,0.04223959994296659,0.37043344763324165,False,False,True
151,HEURISTIC,GCA_12594-5_3,516.0,0.5148987226717533,0.8471305810903837,False,False,True
151,HEURISTIC,PDRG1_12593-33_3,516.0,0.49601905720271633,0.8398133535181426,False,False,True
151,HEURISTIC,OPHN1_12591-27_3,516.0,0.03967065128223556,0.3693526542239379,False,False,True
151,HEURISTIC,PRB4_12590-67_3,516.0,0.37103003293350734,0.7803247271977245,False,False,True
151,HEURISTIC,ARL2_12587-65_3,516.0,0.8220629847445909,0.9546789901239155,False,False,True
151,HEURISTIC,ERCC1_12585-39_3,516.0,0.6858799467083064,0.9188078601477848,False,False,True
151,HEURISTIC,ARAF_12583-77_3,516.0,0.13850209116314974,0.5763480560259147,False,False,True
151,HEURISTIC,IMPA2_12581-39_3,516.0,0.8482080002555219,0.9640952683853911,False,False,True
151,HEURISTIC,PSMB5_12580-7_3,516.0,0.12187118798278979,0.5515799693147004,False,False,True
151,HEURISTIC,ARF3_12578-13_3,516.0,0.618692478148787,0.8886647017854841,False,False,True
151,HEURISTIC,FEN1_12577-100_3,516.0,0.38242189488164674,0.7848846343881314,False,False,True
151,HEURISTIC,TEAD4_12516-13_3,516.0,0.39922654379695793,0.789425534300949,False,False,True
151,HEURISTIC,UCK2_12515-45_3,516.0,0.6479389192459849,0.9048929820783926,False,False,True
151,HEURISTIC,METTL1_12514-16_3,516.0,0.0027423061385869764,0.09057021895549419,False,False,True
151,HEURISTIC,GLTP_12513-8_3,516.0,0.01934063068717277,0.26279448971096847,False,False,True
151,HEURISTIC,SLC41A2_12511-83_3,516.0,0.8592376475290782,0.9659365049496235,False,False,True
151,HEURISTIC,STAP1_12510-3_3,516.0,0.1582709167488256,0.6046679156245034,False,False,True
151,HEURISTIC,COMMD1_12509-115_3,516.0,0.07584470352839656,0.45747020590640913,False,False,True
151,HEURISTIC,CHMP3_12508-9_3,516.0,0.050328617723400124,0.3886355188498891,False,False,True
151,HEURISTIC,ITPKC_12507-16_3,516.0,0.10281539586410027,0.5207263496706074,False,False,True
151,HEURISTIC,LMOD1_12504-26_3,516.0,0.0004337755601622873,0.028258237675213686,False,False,True
151,HEURISTIC,GPR68_12503-5_3,516.0,0.7862262050576624,0.9472465176347675,False,False,True
151,HEURISTIC,TBCA_12501-10_3,516.0,0.7332938565226506,0.929789979424829,False,False,True
151,HEURISTIC,UBA2_12500-88_3,516.0,0.6073554589211503,0.883443179788709,False,False,True
151,HEURISTIC,SH3GL2_12499-108_3,516.0,0.03876565641992409,0.3684471194259063,False,False,True
151,HEURISTIC,TAX1BP3_12498-12_3,516.0,0.3400385659855046,0.767752026814126,False,False,True
151,HEURISTIC,NUDT16L1_12497-29_3,516.0,0.007460774284189334,0.16293063002161154,False,False,True
151,HEURISTIC,GABARAPL2_12494-99_3,516.0,0.5287539735127235,0.8521429022519592,False,False,True
151,HEURISTIC,OTUB2_12493-42_3,516.0,0.08652912328613212,0.48172477747450315,False,False,True
151,HEURISTIC,CLIC4_12491-23_3,516.0,0.1451024133717094,0.5832735169086477,False,False,True
151,HEURISTIC,MAGEA3_12576-21_3,516.0,0.6316218101820597,0.8954081810237552,False,False,True
151,HEURISTIC,MTHFD1_12575-30_3,516.0,0.08159090171027039,0.4695588252428305,False,False,True
151,HEURISTIC,EDN2_12574-36_3,516.0,0.8121080941799719,0.9505709684750245,False,False,True
151,HEURISTIC,TRIM3_12573-80_3,516.0,0.10568724516329635,0.5271275976534435,False,False,True
151,HEURISTIC,EFS_12572-236_3,516.0,0.3451335408193843,0.7700793549932818,False,False,True
151,HEURISTIC,ARL3_12571-14_3,516.0,4.985115181750627e-05,0.0065041718695770445,False,False,True
151,HEURISTIC,CCT5_12569-25_3,516.0,0.002025689004948744,0.07611762027409141,False,False,True
151,HEURISTIC,KEAP1_12568-14_3,516.0,0.6663431239508116,0.9117790386330673,False,False,True
