PROJECTID,cohort_col,TESTNAME,UNITS,n,omnibus_pval,omnibus_qval_fdr_bh,outlier_handling,gba_included,log_transform,pd_only
LCC 108,HEURISTIC,DG(18:1/20:4),area ratio,39.0,0.785512867538467,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dihydrothymine,area,39.0,0.8887727978133605,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dihydrothymine,area ratio,39.0,0.6525174658349981,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dimethylethanolamine,area,39.0,0.3628366737986358,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Dimethylethanolamine,area ratio,39.0,0.3208109199929382,0.9910242332962076,none,False,False,True
LCC 108,HEURISTIC,Dimethylglycine,area,39.0,0.4716489456112859,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Dimethylglycine,area ratio,39.0,0.599121086398571,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dopamine,area,39.0,0.2177837058164896,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Dopamine,area ratio,39.0,0.232120305483784,0.9339286030735576,none,False,False,True
LCC 108,HEURISTIC,Dopamine 3-o-sulfate,area,39.0,0.6865591063615161,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dopamine 3-o-sulfate,area ratio,39.0,0.6457303358248313,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dopamine 4-o-sulfate,area,39.0,0.78245573420656,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Dopamine 4-o-sulfate,area ratio,39.0,0.7618701058205859,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Epinephrine,area,39.0,0.8809022006133878,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Epinephrine,area ratio,39.0,0.8763629649331615,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Ergothioneine,area,39.0,0.5580900490944914,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Ergothioneine,area ratio,39.0,0.5760259601067539,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Ethanolamine,area,39.0,0.1003490995599044,0.818170533399672,none,False,False,True
LCC 108,HEURISTIC,Ethanolamine,area ratio,39.0,0.0537204867600091,0.5554314613222373,none,False,False,True
LCC 108,HEURISTIC,FFA (20:1),area,39.0,0.715329015052392,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,FFA (20:1),area ratio,39.0,0.4295269752208243,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,FFA (20:3),area,39.0,0.2850910802499972,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,FFA (20:3),area ratio,39.0,0.2117174713501573,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,FFA (20:5),area,39.0,0.1394192341652529,0.8940041470574267,none,False,False,True
LCC 108,HEURISTIC,FFA (20:5),area ratio,39.0,0.1800542931981117,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,FFA (22:5),area,39.0,0.2476295592747461,0.95665603523153,none,False,False,True
